Initial distr:
(   x,   y)  (   0) (   1) (   2) (   3) (   4) (   5) (   6) (   7) (   8) (   9) (  10) (  11) (  12) (  13) (  14) (  15)   (mrg)
(   0,   0)  0.1250      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.1250
(   0,   1)       : 0.1250      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.1250
(   0,   2)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   0,   3)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   1,   0)       : 0.1250      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.1250
(   1,   1)  0.1250      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.1250
(   1,   2)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   1,   3)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   2,   0)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   2,   1)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   2,   2)  0.2500      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.2500
(   2,   3)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   3,   0)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   3,   1)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   3,   2)       :      :      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.0000
(   3,   3)       : 0.2500      :      :      :      :      :      :      :      :      :      :      :      :      :      :    0.2500
( marginal)  0.500  0.500  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  1.000


#Testing for 25 iters
#alpha		I(X,Y)		intrInf		redIntr

0.000		0.0000		0.3396		-3.9985
0.042		0.0025		0.3498		-3.9963
0.083		0.0097		0.2865		-3.9887
0.125		0.0214		0.2439		-3.9775
0.167		0.0375		0.3603		-3.9613
0.208		0.0580		0.3130		-3.9407
0.250		0.0827		0.2979		-3.9160
0.292		0.1115		0.3529		-3.8875
0.333		0.1446		0.3647		-3.8542
0.375		0.1819		0.3919		-3.8170
0.417		0.2235		0.4841		-3.7755
0.458		0.2695		0.4562		-3.7302
0.500		0.3200		0.4651		-3.6785
0.542		0.3751		0.5351		-3.6249
0.583		0.4352		0.6104		-3.5637
0.625		0.5004		0.6123		-3.4990
0.667		0.5712		0.7129		-3.4285
0.708		0.6480		0.7442		-3.3517
0.750		0.7315		0.8408		-3.2680
0.792		0.8225		0.9067		-3.1769
0.833		0.9222		0.9852		-3.0770
0.875		1.0326		1.0887		-2.9670
0.917		1.1569		1.1947		-2.8431
0.958		1.3019		1.3255		-2.6978
1.000		1.5000		1.5000		-2.4993
#-----
